SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Uniswap,UNI,2020-09-18 23:59:59,8.43853740886,3.26175747179,3.48815296148,6.89725682185,6061110197.71016,668111645.023516
2,Uniswap,UNI,2020-09-19 23:59:59,7.44327478773,5.32179485688,6.94557697909,5.72446418076,2447471305.09283,554507578.80579
3,Uniswap,UNI,2020-09-20 23:59:59,6.05032562987,4.72020984102,5.72051481206,5.24419548938,1554143599.05737,507985734.869998
4,Uniswap,UNI,2020-09-21 23:59:59,5.62215475892,4.16074255848,5.24419548938,4.26607855983,1329464490.16774,413239181.608882
5,Uniswap,UNI,2020-09-22 23:59:59,4.5540924279,3.755040311,4.27501366257,3.90513786535,816282684.413704,378276197.429285
6,Uniswap,UNI,2020-09-23 23:59:59,4.70764808,3.91656188,3.9179441,4.6532649,964205456.9093665,450744484.21021295
7,Uniswap,UNI,2020-09-24 23:59:59,5.24979542,4.44857491,4.44857591,5.13726606,1168427377.431701,497627878.46547896
8,Uniswap,UNI,2020-09-25 23:59:59,5.52867918,4.848576,5.1604458,5.0129515,882242519.2985622,485585988.6782823
9,Uniswap,UNI,2020-09-26 23:59:59,5.22504502,4.73724624,5.01134874,4.80588085,463707078.01120204,465527823.6737845
10,Uniswap,UNI,2020-09-27 23:59:59,5.44252226,4.72870427,4.8022694,4.78089893,444099191.73009294,463107918.5720507
11,Uniswap,UNI,2020-09-28 23:59:59,4.93726458,4.16431477,4.78143002,4.18797912,435788115.8773787,405673978.9361568
12,Uniswap,UNI,2020-09-29 23:59:59,4.41739496,4.11835371,4.1879735,4.41737989,356399046.7000155,427895179.20957077
13,Uniswap,UNI,2020-09-30 23:59:59,4.44867244,3.92189314,4.44818183,4.01301477,375777186.50246894,388725832.1770539
14,Uniswap,UNI,2020-10-01 23:59:59,4.50650345,3.97404619,4.01405244,4.25986485,701098957.9030193,412637282.2459784
15,Uniswap,UNI,2020-10-02 23:59:59,4.29222077,3.66555445,4.26179978,3.78589829,646428103.6470554,366725902.60416013
16,Uniswap,UNI,2020-10-03 23:59:59,4.12461173,3.74928665,3.78360407,3.79161411,359042995.38409775,367279572.93126136
17,Uniswap,UNI,2020-10-04 23:59:59,3.81608753,3.61677665,3.7976472,3.6689251,413697305.8537077,355395144.4481529
18,Uniswap,UNI,2020-10-05 23:59:59,3.71620756,3.34125598,3.66892529,3.41920528,497456256.7887876,331205713.42270654
19,Uniswap,UNI,2020-10-06 23:59:59,3.4168835,2.72101245,3.4168835,2.83424131,681166626.0777277,274542426.7050082
20,Uniswap,UNI,2020-10-07 23:59:59,2.98866733,2.46286782,2.84232212,2.80006352,664950267.3356261,271231751.18131524
21,Uniswap,UNI,2020-10-08 23:59:59,3.41710007,2.58260796,2.79732568,3.27030556,717724262.1603651,316782350.84644824
22,Uniswap,UNI,2020-10-09 23:59:59,3.55527319,2.99539995,3.28565959,3.09736689,672751180.9683499,300030423.7594074
23,Uniswap,UNI,2020-10-10 23:59:59,3.63220356,3.05492812,3.08181189,3.33152713,562610976.5370011,322712656.47065043
24,Uniswap,UNI,2020-10-11 23:59:59,3.44217517,3.25074287,3.33123934,3.38724035,411091368.09448844,328109389.42903274
25,Uniswap,UNI,2020-10-12 23:59:59,3.42904253,3.20308461,3.37902053,3.26026136,558369285.3870684,315809405.88573736
26,Uniswap,UNI,2020-10-13 23:59:59,3.62266013,3.23538533,3.26167314,3.49726586,383311535.2451846,338767151.10857934
27,Uniswap,UNI,2020-10-14 23:59:59,3.58245159,2.6488059,3.50017875,3.08202347,516845492.97146094,298544164.02639323
28,Uniswap,UNI,2020-10-15 23:59:59,3.07741004,2.86653965,3.0773485,2.90694874,439092200.22333413,541141642.9031625
29,Uniswap,UNI,2020-10-16 23:59:59,3.16335461,2.80555941,2.90838269,3.03497654,578856190.3794163,566018740.9886383
30,Uniswap,UNI,2020-10-17 23:59:59,3.08567533,2.96052754,3.03737341,3.0006826,274343380.146428,560759317.8628457
31,Uniswap,UNI,2020-10-18 23:59:59,3.27679891,2.98276067,2.99508022,3.26685888,270238696.62769705,658804132.0498519
32,Uniswap,UNI,2020-10-19 23:59:59,3.28186631,3.12873845,3.27467548,3.17766422,353126948.0164669,642198931.2594732
33,Uniswap,UNI,2020-10-20 23:59:59,3.18129683,2.82147395,3.17358289,2.86980023,542347476.0741956,595506496.7879803
34,Uniswap,UNI,2020-10-21 23:59:59,3.06571378,2.85083113,2.86189747,2.94137384,641102099.6216476,610958556.284688
35,Uniswap,UNI,2020-10-22 23:59:59,3.13980626,2.93028557,2.94084829,3.03945049,490414766.6593528,631330250.4628034
36,Uniswap,UNI,2020-10-23 23:59:59,3.12028148,2.9744434,3.04407276,3.01219005,340365373.12678003,629314884.2756435
37,Uniswap,UNI,2020-10-24 23:59:59,3.08329223,2.93770967,3.01219006,2.943257,228726426.04521856,616104225.8426412
38,Uniswap,UNI,2020-10-25 23:59:59,2.96679659,2.7299389,2.943257,2.77574688,280177012.5004011,582448679.857583
39,Uniswap,UNI,2020-10-26 23:59:59,2.86815301,2.5507011,2.77574703,2.72590258,402513710.1500299,572875510.6687803
40,Uniswap,UNI,2020-10-27 23:59:59,2.90054865,2.71078781,2.72590256,2.82239855,374717068.8986912,595071764.8665643
41,Uniswap,UNI,2020-10-28 23:59:59,2.85034013,2.59936174,2.82239888,2.67611603,382606651.5706099,564790634.9580132
42,Uniswap,UNI,2020-10-29 23:59:59,2.73456913,2.49409014,2.67611619,2.54161629,452924613.8820874,537048830.213098
43,Uniswap,UNI,2020-10-30 23:59:59,2.55472877,2.26524486,2.54161714,2.41416755,407724693.280509,511147587.41367334
44,Uniswap,UNI,2020-10-31 23:59:59,2.41416755,2.25159656,2.41416755,2.26642787,195366722.87350938,480662058.457911
45,Uniswap,UNI,2020-11-01 23:59:59,2.43362193,2.22745794,2.26642788,2.37930546,189355187.03208768,507214061.62294203
46,Uniswap,UNI,2020-11-02 23:59:59,2.44083514,2.24325691,2.37930535,2.25425989,267321819.12665692,481565079.28856176
47,Uniswap,UNI,2020-11-03 23:59:59,2.28102325,2.06594231,2.25425961,2.13431874,249641515.28974253,456747205.28593296
48,Uniswap,UNI,2020-11-04 23:59:59,2.16038741,1.8889727,2.13432465,1.93011859,339588343.30015147,413703375.8057868
49,Uniswap,UNI,2020-11-05 23:59:59,2.40161741,1.76381655,1.93012344,2.20612935,513013237.58820254,473798080.6251046
50,Uniswap,UNI,2020-11-06 23:59:59,2.6778813,2.18203083,2.20611582,2.5507954,584436650.2169098,548667148.8368093
51,Uniswap,UNI,2020-11-07 23:59:59,2.99585781,2.44812623,2.5507954,2.46649654,771051234.7782099,533591764.2474856
52,Uniswap,UNI,2020-11-08 23:59:59,2.88537031,2.44255685,2.46649654,2.84861707,478996896.8201713,617187405.5768973
53,Uniswap,UNI,2020-11-09 23:59:59,2.85200563,2.58628614,2.84861689,2.67686302,486394677.98332816,580875958.2696799
54,Uniswap,UNI,2020-11-10 23:59:59,3.10329501,2.64013281,2.6768644,3.00754392,514331153.50193655,654437541.490111
55,Uniswap,UNI,2020-11-11 23:59:59,3.14989615,2.87706502,3.00754399,2.91237512,525551142.73753875,634810552.6298693
56,Uniswap,UNI,2020-11-12 23:59:59,3.08158068,2.82726603,2.9123745,2.93014159,538966370.025485,639623667.6424993
57,Uniswap,UNI,2020-11-13 23:59:59,3.96135021,2.90612094,2.93014204,3.8796593,765960346.8892331,848630742.4362862
58,Uniswap,UNI,2020-11-14 23:59:59,3.95374568,3.5347313,3.87965931,3.80910701,774643439.7326491,834021635.9941027
59,Uniswap,UNI,2020-11-15 23:59:59,4.23602319,3.63484903,3.809107,3.86200742,742520517.9509934,847333503.5986902
60,Uniswap,UNI,2020-11-16 23:59:59,3.93290678,3.45923842,3.86200742,3.6040116,739416980.0883697,795818601.8057162
61,Uniswap,UNI,2020-11-17 23:59:59,3.84843573,3.48538747,3.7592612,3.80348089,753340390.0306114,845413000.0836904
62,Uniswap,UNI,2020-11-18 23:59:59,3.84740553,3.28832495,3.80345424,3.46366504,855595851.8627282,772306793.537774
63,Uniswap,UNI,2020-11-19 23:59:59,3.88487541,3.24750812,3.46368006,3.7330601,690972294.1208539,833239658.3074241
64,Uniswap,UNI,2020-11-20 23:59:59,4.083962,3.68421478,3.73306035,3.84091406,1046467101.110601,857827146.1419846
65,Uniswap,UNI,2020-11-21 23:59:59,3.92577012,3.60059507,3.84091408,3.81223005,972140640.0954676,851948496.5303949
66,Uniswap,UNI,2020-11-22 23:59:59,3.920586,3.44760963,3.81223004,3.65905312,1008603252.535265,819231644.5148652
67,Uniswap,UNI,2020-11-23 23:59:59,4.20403492,3.63718074,3.6590533,4.18887791,1351039953.9592154,938456080.8413752
68,Uniswap,UNI,2020-11-24 23:59:59,4.47937112,3.95724615,4.18934869,4.06707338,1346899109.0997114,911812852.1763512
69,Uniswap,UNI,2020-11-25 23:59:59,4.2001122,3.57910843,4.06528421,3.68375432,933020040.3073511,891341395.8819656
70,Uniswap,UNI,2020-11-26 23:59:59,3.76552699,3.11653759,3.68201694,3.43149857,1516484179.141803,833454266.6049309
71,Uniswap,UNI,2020-11-27 23:59:59,3.5188661,3.17294199,3.43383644,3.31672524,665287433.3981802,805742238.6120679
72,Uniswap,UNI,2020-11-28 23:59:59,3.53101638,3.26637116,3.3169469,3.46967137,508403729.81907964,843069227.6235335
73,Uniswap,UNI,2020-11-29 23:59:59,3.56922307,3.37474809,3.4702646,3.55205527,483895367.8046792,867998169.6988827
74,Uniswap,UNI,2020-11-30 23:59:59,3.80433301,3.5373901,3.55194377,3.76907441,824763849.8837101,921271091.8213737
75,Uniswap,UNI,2020-12-01 23:59:59,3.97591071,3.47676087,3.77261173,3.55541263,1042619600.6644199,872773158.2148857
76,Uniswap,UNI,2020-12-02 23:59:59,4.16847302,3.51347614,3.55505791,3.93694029,729926103.8056227,968265196.0554483
77,Uniswap,UNI,2020-12-03 23:59:59,4.0197147,3.80858813,3.94006984,3.89198201,587622998.9209594,957378950.1253784
78,Uniswap,UNI,2020-12-04 23:59:59,3.91618491,3.50719947,3.89226813,3.52813216,595341444.3401191,868063348.8634834
79,Uniswap,UNI,2020-12-05 23:59:59,3.69654678,3.45703087,3.5281354,3.68167397,420480160.7165052,906044647.7016337
80,Uniswap,UNI,2020-12-06 23:59:59,3.7772646,3.51212876,3.68186976,3.6531076,423227915.42889905,904844016.4904615
81,Uniswap,UNI,2020-12-07 23:59:59,3.87173173,3.57089075,3.65302741,3.7645407,411938301.78209966,932617585.9439665
82,Uniswap,UNI,2020-12-08 23:59:59,3.76422563,3.28255637,3.76422563,3.28498568,546521147.0922648,813930076.8511748
83,Uniswap,UNI,2020-12-09 23:59:59,3.39082298,3.13234338,3.28540642,3.35541723,516081302.9396126,844381631.4283338
84,Uniswap,UNI,2020-12-10 23:59:59,3.36777105,3.19163124,3.35583216,3.24360991,365002773.88767374,816330299.5193958
85,Uniswap,UNI,2020-12-11 23:59:59,3.24386486,2.92648179,3.24386486,2.97210942,506458332.3246698,748056657.7925676
86,Uniswap,UNI,2020-12-12 23:59:59,3.17407792,2.96592549,2.97014964,3.12253386,299773732.062206,785986751.615319
87,Uniswap,UNI,2020-12-13 23:59:59,3.36219136,3.07402739,3.12293658,3.33782159,363657249.13062185,840323057.8884748
88,Uniswap,UNI,2020-12-14 23:59:59,3.52055261,3.24720954,3.33855897,3.48526339,364601423.6963119,877520702.0692979
89,Uniswap,UNI,2020-12-15 23:59:59,3.51630274,3.31963556,3.48430196,3.33150942,331368558.7711276,838880372.7142152
90,Uniswap,UNI,2020-12-16 23:59:59,3.53317972,3.25121168,3.33117989,3.52855053,569026020.9135668,897415957.1746562
91,Uniswap,UNI,2020-12-17 23:59:59,3.99304644,3.44575041,3.52872526,3.69151096,1276882131.0746474,938974378.487191
